大李水餃,106台北市大安區和平東路二段118巷54弄35號
台北橋頭滷肉飯,103台北市大同區延平北路三段24號
可口魚丸,251新北市淡水區中正路232號
全家人牛排,號, No. 14臨江街40巷大安區台北市106
延三夜市豆花嫂,103台北市大同區延平北路三段25-2號
東興市魯肉義,404台中市北區漢口路四段88號
桃城三禾火雞肉飯,600嘉義市東區民權路97號
饗食天堂,407台中市西屯區台灣大道三段251號
來來豆漿,407台中市西屯區文心路三段91之2號
敏忠小吃店,116台北市文山區指南路二段57號
老向的店,406台中市北屯區北平路三段173號
小魯玉山東大餅,106台北市中正區杭州南路二段62號
望月樓,220新北市板橋區新站路16號百揚大樓48樓
楊排骨酥麵,108台北市萬華區漢口街二段17號
聚北海道昆布鍋 臺北衡陽店,100台北市中正區衡陽路3號
台灣中油龍安加油站(直營&自助),106台北市大安區和平東路二段2號
龍門國中地下停車場,106台北市大安區建國南路二段269號
肉亭 わたみ 站前店,10047台北市中正區館前路6號
川郎活蟹海鮮料理,10491台北市中山區吉林路142號
鼎旺麻辣鴛鴦火鍋,106台北市大安區大安路一段251號
三合院粵式料理港式飲茶,106台北市大安區忠孝東路四段45號
青沐初食,106台北市大安區敦化南路二段265巷7號
白房子Yang Ｍing Caf’e,111台北市士林區愛富二街厚生巷2號
亞尼克夢想村1號店,111台北市士林區長春街4巷481號
皇家貴族派,265宜蘭縣羅東鎮民生路97號
雨傘王,106台北市大安區敦化南路二段63巷57號
CAMPUS CAFE 站前店,100台北市中正區館前路36號
金鑛咖啡 台北忠孝門市,110台北市信義區忠孝東路五段159號
新葡苑 台北復興店,106台北市大安區忠孝東路三段300號10樓
赤坂拉麵,105台北市松山區八德路四段143號
松本清 六本木店,日本〒106-0032 Tōkyō-to, Minato City, Roppongi, 6-chōme−1−26
雅苑粵菜港式飲茶,106台北市大安區光復南路202號
築空間 ARKI GALERIA,100台北市中正區重慶南路一段2號
AIT辦事處,No. 100, No. 114金湖路內湖區台北市114
財團法人長庚紀念醫院台北院區,105台北市松山區敦化北路199號
老張炭烤燒餅,106台北市大安區安和路二段59巷19號
CoCo壹番屋咖哩 (台北漢口店),100台北市中正區漢口街一段19號
伯朗咖啡館 南京一店,10491台北市中山區南京東路二段218號
山頂會館景觀餐廳,264宜蘭縣員山鄉枕山一村19號
大直植福宮,10491台北市中山區北安路608巷14弄1號
良品牛肉麵館,100台北市中正區開封街一段10號
瓦城泰國料理 - 台北三越站前店,100台北市中正区忠孝西路一段66號
關西仙草巷,306新竹縣關西鎮中興路14號
Honda 內湖,114台北市內湖區港墘路219號
美琪蒙古烤肉,10491台北市中山區敬業三路20號
聚北海道昆布鍋 台北南京東店,104台北市中山区南京東路二段72號B1
Curry For PEACE,110台北市信義區嘉興街26號
Giocare義式.手沖咖啡,970花蓮縣花蓮市樹人街7號
大陸婆婆麵食館,958台東縣池上鄉慶福路27號
SAMA Shabu Shabu 火鍋-麻辣醬の專門,106台北市大安區忠孝東路四段216巷40弄7號
下班去哪居酒屋,106台北市大安區敦化南路二段63巷19號1樓
巴蜀酸辣粉火鍋,10491台北市中山區長安東路二段76號
八斗子,202新北市瑞芳區
原鍋食堂 刷刷屋鍋物專門料理,112台北市北投区中和街30號
玉里神社遺址,981花蓮縣玉里鎮西邊街
老木咖啡,106台北市大安區和平東路三段119巷11號
鼻頭角風景區,224新北市瑞芳區
冬山金珠蔥油餅,269宜蘭縣冬山鄉冬山路一段986巷5號
宜蘭餅發明館,270宜蘭縣蘇澳鎮海山西路369號
美津早餐店 - 肉包、蛋餅,270宜蘭縣蘇澳鎮中山路一段165之3號
安打烏醋麵,272宜蘭縣南澳鄉蘇花路二段186號
大清水遊憩區,972花蓮縣秀林鄉
西寶國小,972花蓮縣秀林鄉富世村西寶11號
佳興冰果室,971花蓮縣新城鄉博愛路22號
Moose a Maze 麋鹿·迷路 義式餐廳,234新北市永和區中正路151巷1-1號
我家牛排,701台南市東區裕農路578號
烏斯佩斯基大教堂,Kanavakatu 1, 00160 Helsinki, 芬蘭
枋寮車站,940屏東縣枋寮鄉
森林之歌,600嘉義市東區文化路
永和豆漿中正店,234新北市永和區中正路175號1樓
漁光島,708台南市安平區漁光路114號
頂岩灣四格山,954台東縣卑南鄉
臺馬之星,200基隆市仁愛區港西街16號
桑芭南洋美食,234新北市永和區得和路57號
合歡山主峰步道,546南投縣仁愛鄉
合歡山主峰,546南投縣仁愛鄉松原巷9號
伊達邵遊客中心,555南投縣魚池鄉文化街127號
貯木池,553南投縣水里鄉
臺南市立臺南文化中心,701台南市東區中華東路三段332號
海埔蚵仔煎,970花蓮縣花蓮市自由街88號
L'avenue,日本〒650-0003 Hyogo, Kobe, Chūō-ku, Yamamotodōri, 3-chōme−7−3 ユートピア・トーア1F
OGINO,545-3 Funatsu, Fujikawaguchiko, Minamitsuru-gun, Yamanashi 401-0301日本
Houtou Fudou,707 Kawaguchi, Fujikawaguchiko, Minamitsuru-gun, Yamanashi 401-0304日本
御殿場高級過季名牌暢貨中心,日本〒412-0023 Shizuoka, Gotemba, Fukasawa, 1312
福山植物園,264宜蘭縣員山鄉雙埤路福山1號
石磐瀑布,得 子 口 溪, 礁溪鄉宜蘭縣262
LeTAO小樽洋菓子舖 中山店,10491台北市中山區中山北路二段20巷1號
梧棲魚市,436台中市清水區北堤路30號
八錢鍋物,408台中市南屯區公益路二段25號
大稻埕公園,103台北市大同區歸綏街243號
新營服務區 北向,731台南市後壁區竹新里新厝72號
雲山水逸翠軒會館民宿～,974花蓮縣壽豐鄉豐坪路二段2巷201弄12號
PLUS BELLE 好時光迴廊藝文廚坊,106台北市大安區忠孝東路三段251巷4-1號2樓號
屋馬燒肉 中港店,407台中市西屯區台灣大道三段300號
易家仙人掌冰淇淋,884澎湖縣白沙鄉191-2號
家電 BIC CAMERA 難波店,日本〒542-0074 Osaka, Chūō-ku, Sennichimae, 2-chōme−10−1
高島屋 京都店,日本〒600-8520 Kyoto, Shimogyō-ku, Shinchō, 52番地, Shijo-dori
古坑服務區,646雲林縣古坑鄉崁腳村新興路100號
莉莉水果店,700台南市中西區府前路一段199號
凱恩斯岩燒餐廳-台北大安店,106台北市大安區四維路14巷6-1號
Isaac Toast & Coffee,105 Toegye-ro, Chungmuro 1(il)-ga, Jung-gu, Seoul, 南韓
6星集足體養生會館(台北安和會館),106台北市大安區安和路二段225號
鐵匠 鉄板居酒屋 TEPPAN IZAKAYA TESSHO,106台北市大安區敦化南路二段265巷13號
宇治上神社,日本〒611-0021 Kyoto, Uji, 宇治山田５９
逐浪海景咖啡,No, No. 24杉原產業道路卑南鄉台東縣954
水晶教堂,727台南市北門區北門里200號
中村藤吉 本店,日本〒611-0021 Kyoto, Uji, Ichiban−１０
梨花女子大學非誒,南韓 Seoul, Seodaemun-gu, Bukahyeon-dong, Ewhayeodae-gil, 52
台灣磚窯雞,237新北市三峽區中正路二段87號
程味珍,108台北市萬華區西寧南路63之2號
及品鍋貼水餃專賣店,Shilin, No. 93美崙街士林區台北市111
賊仔澳玻璃海灘,270宜蘭縣蘇澳鎮造船路
手捍麵民生店,265宜蘭縣羅東鎮民生路150號
乳菓在一起-中正紀念堂,100台北市中正區寧波東街11-4號
好小子海鮮店,104台北市中山區林森北路305號
山嵐拉麵 古亭店,106台北市大安區杭州南路二段75號
南庄客家風味美食,220新北市板橋區新北市板橋區區運路78號
泰安服務區 南向,421台中市后里區安眉路113號
太平洋釣蝦場,268宜蘭縣五結鄉五濱路二段232號
嘉義晉雞肉飯,號, No. 208民族西路大同區台北市103
陸品川浙名菜,10679台北市大安區樂利路84號
Guru House,108台北市萬華區成都路27巷10號
一事製菓 (無內用座位),111台北市士林區忠誠路二段130巷33-1號
無耳茶壺山,224新北市瑞芳区新北市瑞芳區金瓜石
上海小吃館,106台北市大安區仁愛路四段71巷14號
河豚很多,202基隆市中正區正濱路88號
Notch 咖啡工場 站前店,100台北市中正區信陽街6號
椰林溫泉美食餐廳,112台北市北投區行義路269號
博多華味鳥 台北忠孝店,106台北市大安區忠孝東路三段217巷3弄2號
溪湖阿讚豬腳爌肉飯,514彰化縣溪湖鎮員鹿路三段
巧虎麵館,100台北市大安區愛國東路90號
Burger Fix,106台北市大安區安和路一段21巷5號
佳佳香鍋貼專賣店 敦南店,106台北市大安區敦化南路一段236巷4號
一品活蝦 忠孝店,106台北市大安區敦化南路一段172號
皇廷30年傳統作法石頭火鍋台北一店,106台北市大安區大安路一段52巷21號
Thai Bazaar 泰集泰式料理大安店,106台北市大安區大安路一段80號
洛神賦麻辣極品鴛鴦,106台北市大安區仁愛路四段27巷16號
可可法朋 ルヴァン,106台北市大安區仁愛路四段122巷24號
南鯤鯓代天府,727台南市北門區鯤江里976號
彈芽麵,112台北市北投區裕民一路40巷15號
Coffee Smith 石牌店,112台北市北投區明德路333巷31號
滿佳香漢堡店,111台北市士林區大北路56號
香連鐵板料理,103台北市大同區寧夏路16號
五福停車場,337桃園市大園區三民路二段165號
路上撿到一隻貓,106台北市大安區溫州街49巷2號
咖啡瑪榭 忠孝店,106台北市大安區敦化南路一段233巷62號
市長官邸咖啡廳,100台北市中正區徐州路46號
金山客家小館 創始店,105台北市松山區南京東路五段250巷2弄5號
夫妻肺片麻辣火鍋,10491台北市中山區長安東路二段168號
CHIFFON,10491台北市中山區龍江路79號
金時良房,10491台北市中山區松江路77巷6號
青塘園遊客中心,320桃園市中壢區文德路300號
思亮館國際會議廳,10617台北市大安區羅斯福路四段1號
小南鄭記台南碗粿虱目魚羹(大安分店),106台北市大安區大安路二段60號
大樹腳阿欽伯粉圓,616嘉義縣新港鄉福德路110號
臺北市立天文科學教育館,111台北市士林區基河路363號
小米之家 臺北信義威秀店,110台北市信義區松壽路20號
台北市政府前廣場,110台北市信義區市府路1號
國家文創禮品館,100台北市中正區徐州路1號
家鴻燒鵝,104台北市中山區興安街53之4號
BURGER KING漢堡王 華納店,110台北市信義區松壽路16號
Cafe & Meal MUJI,日本〒604-8032 Kyoto, Nakagyō-ku, Yamazakichō, 河原町通三条下ル山崎町２５１ 京都ＢＡＬ５Ｆ 京都ＢＡＬ
京都Loft,日本〒604-8031 Kyoto, Nakagyō-ku, Daikokuchō, 三条下ル大黒町58番地 ミーナ京都地下1階～4階 Kawaramachi Dori
富式 金蛋捲 & 銅鑼燒,106台北市大安區忠孝東路四段559巷32號
劉芋仔蛋黃芋餅,103台北市大同區寧夏路
外木山濱海風景區,203基隆市中山區協和街215號
嘉義肉羹專賣店,600嘉義市西區民生北路156號
麵屋六花,404台中市北區學士路236巷2號
卡啡那惠來店,407台中市西屯區惠中路二段45號
PUTIEN莆田 台中台灣大道店,403台中市西區台灣大道二段405號
激旨燒鳥 美村加盟店,403台中市西區美村路一段86號
泰僑村,403台中市西區忠明南路175巷3號
道地越南小吃,413台中市霧峰區育群路156-5號
米亞諾餐桌計劃,403台中市西區大墩十一街113號
島上西西,600嘉義市東區東洋新邨603號
112巷牛排,116台北市文山區興隆路三段112巷2弄26號
老山東蔥油餅韭菜盒涼麵食堂,106台北市大安區樂業街126號
苾亞朵炙燒牛排,108台北市万华区昆明街164號
臺北眷村文物館,110台北市信義區松勤街50號
Eason藝升鐵板燒,No, No. 327和平東路三段信義區台北市110
福珍排骨酥麵,103台北市大同區華陰街42-13號
和平山東大饅頭,110台北市信義區和平東路三段403號
金獅樓,108台北市萬華區西寧南路36號
雞湯大叔 民生店,10491台北市中山區民生東路二段131號
Just Grill 牛排,110台北市信義區松高路11號
Home Curry,No. 70號西寧南路萬華區台北市108
龍涎居雞膳食坊 (饒河店),105台北市松山區饒河街167號
晴光紅豆餅,10491台北市中山區雙城街12巷16之1號
仁川韓式鐵板烤肉定食,106台北市大安區安居街31號
珍饌小餐館,10491台北市中山區錦州街262號
賀運咖啡,106台北市大安區和平東路三段20號
Black Star Pastry,Level 2/500 George St, Sydney NSW 2000澳洲
蜀留香正宗重慶手工酸辣粉,10491台北市中山區松江路362巷75號
三味香,100台北市中正區桃源街19號
暹羅廣場,泰國 Krung Thep Maha Nakhon, Rama I Rd, 邮政编码: 10330
SPAO,108台北市萬華區西寧南路123號
永樂車輪餅 | 古早味車輪餅,103台北市大同區迪化街一段21號
家樂福大直店 Carrefour Ta Zhi Branch,10491台北市中山區樂群三路218號
史大華精緻麵食和平店,106台北市大安區和平東路三段67巷4號
阿瑜陀耶古城,หมู่ที่ 4 196 Khlong Tho Rd, Tambon Pratuchai, Amphoe Phra Nakhon Si Ayutthaya, Chang Wat Phra Nakhon Si Ayutthaya 13000泰國
Som Tam Nua,Khwaeng Pathum Wan, Khet Pathum Wan, Krung Thep Maha Nakhon 10330泰國
新港茶餐廳 (西門店),108台北市萬華區漢中街52號
感謝您塩酥雞刈包,106台北市大安區信義路四段
高雄五福鮮蝦扁食,106台北市大安區敦化南路一段236巷23號
LeTAO小樽洋菓子舖 松菸店,110台北市信義區忠孝東路四段553巷30號
添好運 (台北統一時代店),110台北市信義區忠孝東路五段8號
湘民小館,105台北市松山區八德路三段155巷24號
Jamie's Italian信義店,110台北市信義區松壽路11號新光三越台北信義新天地A11, 3樓
明星咖啡館,100台北市中正區武昌街一段5號
艋舺鹹光餅巧味餅舖,10043台北市中正区桃源街13號
Starbucks,10491台北市中山區松江路210號
夏野豆行 Summer Savage,10491台北市中山區松江路330巷1號
廊香歐風創作料理,106台北市大安區仁愛路四段48巷14號
咖哩本舍,105台北市松山區敦化北路155巷16號
誠屋,105台北市松山區市民大道四段17號
Neverland LITE,115台北市南港區南港路一段265號
LATTEA 綠蓋茶‧館,106台北市大安區忠孝東路四段216巷11弄16號
犂園湯包館,10550台北市松山區南京東路三段256巷24號
ZOO CAFE 鹿咖啡,23143新北市新店區北新路三段206巷1弄7號
紅廚Pasta West East 義大利餐廳,105台北市松山區慶城街22號
老爺酒店Le Caf'e,10491台北市中山區中山北路二段37之1號
Hard Rock Hotel Pattaya,429 หมู่ 9 ถนน หาด Muang Pattaya, Amphoe Bang Lamung, Chang Wat Chon Buri 20150泰國
ICONSIAM,299 Charoen Nakhon Rd, Khwaeng Khlong Ton Sai, Khet Khlong San, Krung Thep Maha Nakhon 10600泰國
安慰劑 Placebo Taipei,110台北市信義區基隆路二段83號
豆花工房豆花專賣店,231新北市新店區光明街272號
南寮漁港旅遊服務中心,300新竹市北區南寮街261號
CentralFestival Chiang Mai,999 ถนน ซุปเปอร์ไฮเวย์ เชียงใหม่-ลำปาง Tambon Fa Ham, Amphoe Mueang Chiang Mai, Chang Wat Chiang Mai 50000泰國
白龍寺,泰國 Chang Wat Chiang Rai, อำเภอเ มืองเชียงราย ตำบล ป่าอ้อดอนชัย 邮政编码: 57000
白沙屯拱天宮,357苗栗縣通霄鎮白東里8號
平等院,日本〒611-0021 Kyoto, Uji, Renge−116
EmQuartier,698 693,695 Sukhumvit Rd, Khwaeng Khlong Tan Nuea, Khet Watthana, Krung Thep Maha Nakhon 10110泰國
Plearnwan,4/90-95 Phet Kasem Rd, Tambon Hua Hin, Amphoe Hua Hin, Chang Wat Prachuap Khiri Khan 77110泰國
東大寺二月堂,日本〒630-8211 Nara, Zōshichō, 406-1 二月堂
板橋慈惠宮,220新北市板橋區挹秀里1鄰府中路81號
智光黃昏市場,234新北市永和區中正路與民享街口附近
巴黎灣景觀餐廳,249新北市八里區龍米路二段152-6號
舒服生活 Truffles Living,No. 66文昌街大安區台北市106
台中日月千禧酒店,40756台中市西屯區市政路77號
蜀居川菜館,231新北市新店區北新路二段199號
丹堤咖啡,106台北市大安區信義路三段184號
川揚郁坊小館,100台北市中正區延平南路163巷2號
兆笙會館,330桃園市桃園區經國路441號
聚園餐廳,105台北市松山區民生東路三段113巷25弄39號
番割田甕缸雞,268宜蘭縣蘇澳鎮海山西路309號
老柴咖啡館,237新北市三峽區大觀路113號
Sunny LuLu Café,300新竹市東區民權路269號
高建桶店,103台北市大同區迪化街一段204號
新店北鴨鴨肉羹,231新北市新店區光明街169號
帕米義麵屋,231新北市新店區北新路三段82號
祥發茶香煙燻滷味,267宜蘭縣大同鄉鹿場路1之6號
太平山國家森林遊樂區,267宜蘭縣大同鄉太平巷58之1號
太平山莊,267宜蘭縣大同鄉太平村太平巷58-1號
新光三越台北站前店,100台北市中正區忠孝西路一段66號
臺中第二市場,400台中市中區三民路二段87號
New Taipei City Plaza,22001新北市板橋區板橋, 縣民大道二段7號 新北市板橋區
伊拿谷景觀餐飲店,546南投縣仁愛鄉信義巷36之1附1號仁和路
台北清真寺,10650台北市大安區新生南路二段62號
薰衣草森林台中新社店,426台中市新社區中興街20號
八里渡船頭老街,249新北市八里區渡船頭街
台北西門町捷運紅樓,108台北市萬華區中華路一段112號
十巷咖哩,104台北市中山區雙城街10巷25-1號
山崎麵包(台灣大學店),106台北市大安區羅斯福路四段1號
大直粥品,10491台北市中山區北安路567號
10平方文具概念館 10X2th STATIONERY,100台北市中正區南海路48號
那個鍋 - 一中店,404台中市北區太平路21號
朕點麻小面,100台北市中正區汀州路三段77號
四海居小吃部,260宜蘭縣宜蘭市康樂路137巷9號
山東大史餃子館,100台北市中正區羅斯福路四段24巷11-1號
中華電信公館服務中心,10091台北市中正區羅斯福路四段76號
Hostel Jiizu 茄子 • 青旅,105台北市松山區南京東路五段123巷1號
Nom Nom,106台北市大安區潮州街137號
卓莉手工釀啤酒泰食餐廳-內湖店,114台北市內湖區民權東路六段469號
郭子儀紀念堂,114台北市內湖區文德路267巷19號
台北王朝大酒店 Sunworld Dynasty Hotel Taipei,105台北市松山區敦化北路100號
水源會館 公館店,100台北市中正區思源街16號
淞月湯包菜飯館,231新北市新店區北新路一段297巷10號
料理王健康素食自助餐,100台北市中正區思源街8號
花蓮國軍英雄館,970花蓮縣花蓮市花崗街56號
大新店游泳池,231新北市新店區環河路112-1號
天星港式飲茶,105台北市松山區南京東路三段275號
國立臺灣大學醫學人文博物館,100台北市中正區仁愛路一段1號
21工房手工酵素涼麵,103台北市大同區酒泉街10巷25號
香港國際機場,香港赤鱲角翔天路1號
門卡迪餐廳,108台北市萬華區成都路14號
晉江茶堂,100台北市中正區晉江街1號
Homie Cafe,106台北市大安區仁愛路四段345巷2弄11號
小藝埕,103台北市大同區迪化街一段34號
DAISO大創百貨 台北南西店,10491台北市中山區南京西路1號
呈信傳統鵝肉店-永貞店,234新北市永和區永貞路143號
天龍寺,日本〒616-8385 Kyoto, Ukyo Ward, Sagatenryūji Susukinobabachō, ６８
Miga Kitchen Pasta . 米家廚房義大利麵,110台北市信義區信義路四段395巷6弄12號
三上咖哩 Mikami Curry,106台北市大安區大安路一段19巷3號
平安京茶事,100台北市中正區師大路165號
聯經書房,106台北市大安區新生南路三段94號
喜滿客絕色影城,108台北市萬華區漢中街52號西門町
樂法Le Phare 羅斯福店,106台北市大安區羅斯福路三段283巷6號
國立臺灣大學水源校區,100台北市中正區思源街18號
自來水博物館,100台北市中正區思源街1號
Aunt Stella 詩特莉 - 遠企 B2 (Cafe),106台北市大安區敦化南路二段203號
沐樂咖啡 新生店,100台北市中正區臨沂街13巷7號
雪可屋,106台北市大安區溫州街86號
北雲餐廳,115台北市南港區研究院路二段39號
INPARADISE 饗饗,110台北市信義區忠孝東路五段68號
中研市場/中研區民活動中心,115台北市南港區研究院路二段70巷12號
TWG Tea Salon & Boutique,110台北市信義區市府路45號台北101購物中心 L5-01
貳樓餐廳 Second Floor Cafe 南港車站店,115台北市南港區忠孝東路七段359號City LinkB棟
北投溫泉博物館,112台北市北投區中山路2號
宮 韓式料理,701台南市東區中華東路二段236號
雙全紅茶,700台南市中西區中正路131巷2號
定食8 - 遠雄汐科店,221新北市汐止區新台五路一段97號B1 (遠雄購物中心
花蓮文化創意產業園區,970花蓮縣花蓮市中華路144號
書與咖啡,11564台北市南港區研究院路二段7-8號
永心鳳茶微風信義店,110台北市信義區忠孝東路五段68號
林田山林業文化園區,975花蓮縣鳳林鎮林森路99巷99號
舞鶴茶園公主咖啡,978花蓮縣瑞穗鄉中正南路二段336號
Caffe Fiore珈琲花,970花蓮縣花蓮市忠孝街79號
滋養製菓,103台北市大同區迪化街一段247號
太魯閣山月村,972花蓮縣秀林鄉231-1號
TASTY西堤牛排,700台南市中西區民族路二段60號
藥師的私房紅茶,700台南市中西區府前路一段373號
旗哥牛肉湯,704台南市北區中華北路一段143號
泰美,106台北市大安區東豐街34號
炸牛排 京都勝牛 京都站前店,日本〒600-8211 Kyoto, Shimogyō-ku, Maoyachō, 211
了凡香港油雞飯.麵 台中J-Mall店,407台中市西屯區台灣大道四段1036號
點點心 微風台北車站店,100台北市中正區北平西路3號臺北車站
圈子 Brunch.Coffee 美式早午餐廳,10491台北市中山區民權西路11號
Top City台中大遠百,407台中市西屯區台灣大道三段251號
飯BAR 內湖旗艦店,114台北市內湖區內湖路一段360巷2號
連得堂煎餅,704台南市北區崇安街54號
阿妹茶樓,224新北市瑞芳區市下巷20號
太宰府天滿宮,日本〒818-0117 Fukuoka, Dazaifu, Saifu, 4-chōme−7−１
Purebread Bakery,106台北市大安區四維路154巷15號
新味珍復古熱炒,116台北市文山區興德路9號
2J CAFE,106台北市大安區建國南路二段79巷9號
ZARA 台北統領店,106台北市大安區忠孝東路四段201號
董家水餃,234新北市永和區得和路374巷1弄
惟風堂青草茶,231新北市新店區北新路三段1號
周胖子餃子館,231新北市新店區民權路12號
雙連高記手工水餃,10491台北市中山區民生西路17號
乾隆坊港式酒樓,231新北市新店區民權路50號
正翔水電衛生材料有限公司,106台北市大安區復興南路二段151巷9號
百品烤肉,106台北市大安區大安路一段242號
江家黃牛肉麵,234新北市永和區中正路493號
聖馬汀咖啡,333桃園市龜山區文化三路146之1號
Vino Vino,106台北市大安區師大路80巷2號
紅屋牛排館,105台北市松山區南京東路五段56號
天盛舖營養三明治 58號,200基隆市仁愛區仁三路(基隆廟口58號攤位)
季節香茶葉與咖啡烘焙屋,23443新北市永和區仁愛路71號
發現義大利麵,100台北市中正區羅斯福路三段282號
百合麵包園,106台北市大安區大安路二段152號
旗魚新竹米粉,103台北市大同區延平北路三段85號
亞東甜不辣,108台北市萬華區西園路一段56號
阿蘭姊薑母鴨,231新北市新店區中正路414號
微熱山丘 Sunny Hills 新光三越信義A9,110台北市信義區松壽路9號
上海老天祿滷味,108台北市萬華區成都路56號
高鐵臺北站,100台北市中正區北平西路3 號
秘魯烤雞 Polleria,100台北市中正區牯嶺街61-5號
誠品R79 / 中山地下書街,10352台北市中山區南京西路16號
目目咖啡,950台東縣台東市更生路404巷8號
江巷仔內仙人掌冰,884澎湖縣白沙鄉174 之 2 號
老董牛肉麵,103台北市中山區民生西路35號
川湯溫泉養生餐廳,112台北市北投區行義路300巷10號
麵面俱到麵館 石牌店,112台北市北投區石牌路二段33號
康樂街牛肉湯,700台南市中西區康樂街325號
二六食堂,300新竹市東區建功一路26號
50嵐 北新店,231新北市新店區北新路三段66號
早秋咖啡 Cafe Macho,100台北市中正區晉江街10號
野草居食屋,100台北市中正區同安街28巷1號
hot 7 新鉄板料理 台北基隆路店,106台北市大安区基隆路二段172號
辣姐泰式小吃,106台北市大安區通化街39巷62弄51號
Burger & Co,106台北市大安區通安街49號
Mastro Cafe,114台北市內湖區瑞光路316巷58號
alohas野草餐廳,106台北市大安區延吉街138巷3號
Near Park 手作烘焙,106台北市大安區和平東路三段308巷31弄4號
越泰豐,106台北市大安區安居街34巷3號
小錐麓步道,972花蓮縣秀林鄉砂卡礑隧道
砂卡礑步道,972花蓮縣秀林鄉富世村
丐幫滷味安居分舵,106台北市大安區安居街30號
多良觀光車站,963台東縣太麻里鄉瀧溪路8-1號
Bachalpsee,Bachsee, 3818 Grindelwald, 3818 Grindelwald, 瑞士
錐麓古道,972花蓮縣秀林鄉燕子口隧道
太魯閣國家公園合歡山管理站,546南投縣仁愛鄉松原巷11號
碧綠神木,972花蓮縣秀林鄉中部橫貫公路
好市多Costco 台中店,408台中市南屯區文心南三路289號
八仙洞,962台東縣長濱鄉三間村水母丁1-4號
中友百貨,404台中市北區三民路三段161號
集品蝦仁飯,700台南市中西區海安路一段107號
鰲峰山觀景平台,436台中市清水區鰲海路70號
葛樂蒂咖啡館,106台北市大安區辛亥路一段136號
臺中市立臺中一中,404台中市北區育才街2號
臺大中央籃球場,號, No. 38-1羅斯福路四段中正區台北市100
駱記小炒,106台北市大安區通化街39巷50弄27號
阿隆師臭豆腐,號, No. 6和平東路三段308巷大安區台北市106
摩斯漢堡 公園店,100台北市中正區公園路38號
蔦屋書店信義店,110台北市信義區忠孝東路五段8號
第二福利社餐廳,106台北市大安區舟山路245號
國立臺灣大學資訊工程學系暨研究所,106台北市大安區辛亥路二段189號
手作豚亭日式豬排專門店,106台北市大安區基隆路三段85號
溫洲大餛飩,106台北市大安區信義路三段109之2號
泉虹書局,106台北市大安區安居街40號
米之鄉池上木盒便當,110台北市信義區和平東路三段295號
海力士-安居店,106台北市大安區安居街21號
大壩嵩台,335桃園市龍潭區
三嬸羊肉燴館,No. 345, 和平東路三段信義區台北市110
李仔哥爌肉飯,545南投縣埔里鎮信義路326號
全國電子,106台北市大安區樂業街152號
百齡右岸河濱公園,111台北市士林區
Mo-Mo-Paradise 台北98牧場,106台北市大安區忠孝東路四段98號
彭園湘菜館,106台北市大安區羅斯福路二段27號
御景日本料理,100台北市中正區林森南路2之4號
誠昌飯店,澳門官也街24號
國立臺灣大學應用力學研究所,106台北市大安區羅斯福路四段1號
Mövenpick Café-莫凡彼台北臺大店,10673台北市大安區羅斯福路四段85號
楓露廚房,10491台北市中山區南京東路三段8號
景新高爾夫練習場,231新北市新店區復興路110號
望幽谷觀海平台,202基隆市中正區
天御花園,335桃園市大溪區復興路二段45之1號
炎術,545南投縣埔里鎮南興街279號
藻遍海餃 | 焱昌企業社,202基隆市中正區八斗街65-2號
家樂福內湖店,114台北市內湖區民善街88號
臺安醫院,105台北市松山區八德路二段424號
國立海洋科技博物館-區域探索館,202基隆市中正區漁港一街
中港大排親水步道,242新北市新莊區中華路二段116號號
品蓬咖啡,700台南市中西區府前路一段196巷17號
老眷村川味牛肉麵,260宜蘭縣宜蘭市民權新路473號
五峰旗瀑布,262宜蘭縣礁溪鄉
猴洞坑瀑布,262宜蘭縣礁溪鄉白石腳路196號
崎頂子母隧道,350苗栗縣竹南鎮
動漫彩繪巷,403台中市西區林森路100巷
盛橋刈包,400台中市中區中山路26號
一芳水果茶 台北南京東店,105台北市松山區南京東路五段289號
屏東縣立田徑場,900屏東縣屏東市
奎壁山遊憩區,885澎湖縣湖西鄉澎15鄉道57號
中屯風車,884澎湖縣白沙鄉
小門地質館,881澎湖縣西嶼鄉11之12號
小台灣,883澎湖縣七美鄉七美嶼
七美雙心石滬,883澎湖縣七美鄉
澎湖機場,88593澎湖縣湖西鄉隘門村126-5號
中山女高,10490台北市中山區長安東路二段141號
南投車埕木業展示館,55345南投縣水里鄉民權巷110-2號
徐州路2號庭園會館,100台北市中正區徐州路2號
好味道排骨大王,100台北市中正區南陽路28號
奕順軒羅東店,265宜蘭縣羅東鎮民權路160號
真理大學,251新北市淡水區真理街32號
黑宅 Black House,261宜蘭縣頭城鎮三和路616巷235弄47號
幸福麵食餃子館,106台北市大安區信義路三段134巷
強記港式小館,106台北市大安區大安路一段203號
北回水晶餃,600嘉義市東區忠孝路166號
The French Kiss 吻吧,No. 5-1號1樓, 新生南路三段76巷大安區台北市106
ERSTE Pâtisserie艾斯特烘焙,106台北市大安區通化街17-5號
龍騰斷橋(魚藤坪斷橋),367苗栗縣三義鄉龍騰村9-5號
景美豆花,116台北市文山區景美街86號
光一肆號,106台北市大安區新生南路三段76巷2號
南大門韓國烤肉,10491台北市中山區林森北路119巷63號
黃記老牌燉肉飯,108台北市萬華區漢口街二段25號
豚骨一燈 台北信義,110台北市信義區忠孝東路五段8號
